0.86277	0.57731	0.29679	0.19177	0.16557	0.08616	0.22329	0.20321	0.1545	0.09101	0.02604	0.1002	0.20699	0.19332	0.14254	0.00887	0.04413	0.14272	0.18556	0.16118	0.01616	0.05508	0.15028	0.27484	0.43969
0.8765	0.51958	0.26711	0.17259	0.14901	0.07755	0.30096	0.18289	0.13905	0.08191	0.02344	0.09018	0.28629	0.17399	0.12829	0.00798	0.03971	0.12845	0.267	0.14507	0.01454	0.04957	0.13526	0.24736	0.49572
0.89022	0.46184	0.23743	0.15342	0.13246	0.06893	0.37863	0.16257	0.1236	0.07281	0.02083	0.08016	0.3656	0.15466	0.11404	0.0071	0.0353	0.11418	0.34845	0.12895	0.01292	0.04406	0.12023	0.21988	0.55175
0.90394	0.40411	0.20775	0.13424	0.1159	0.06031	0.4563	0.14225	0.10815	0.06371	0.01823	0.07014	0.4449	0.13533	0.09978	0.00621	0.03089	0.09991	0.42989	0.11283	0.01131	0.03855	0.1052	0.19239	0.60779
0.91766	0.34638	0.17807	0.11506	0.09934	0.0517	0.53397	0.12193	0.0927	0.05461	0.01562	0.06012	0.5242	0.11599	0.08553	0.00532	0.02648	0.08563	0.51134	0.09671	0.00969	0.03305	0.09017	0.16491	0.66382
0.93139	0.28865	0.14839	0.09589	0.08279	0.04308	0.61165	0.10161	0.07725	0.0455	0.01302	0.0501	0.6035	0.09666	0.07127	0.00443	0.02206	0.07136	0.59278	0.08059	0.00808	0.02754	0.07514	0.13742	0.71985
0.94511	0.23092	0.11871	0.07671	0.06623	0.03447	0.68932	0.08129	0.0618	0.0364	0.01042	0.04008	0.6828	0.07733	0.05702	0.00355	0.01765	0.05709	0.67422	0.06447	0.00646	0.02203	0.06011	0.10994	0.77588
0.95883	0.17319	0.08904	0.05753	0.04967	0.02585	0.76699	0.06096	0.04635	0.0273	0.00781	0.03006	0.7621	0.058	0.04276	0.00266	0.01324	0.04282	0.75567	0.04836	0.00485	0.01652	0.04509	0.08245	0.83191
0.97255	0.11546	0.05936	0.03835	0.03311	0.01723	0.84466	0.04064	0.0309	0.0182	0.00521	0.02004	0.8414	0.03866	0.02851	0.00177	0.00883	0.02854	0.83711	0.03224	0.00323	0.01102	0.03006	0.05497	0.88794
0.98628	0.05773	0.02968	0.01918	0.01656	0.00862	0.92233	0.02032	0.01545	0.0091	0.0026	0.01002	0.9207	0.01933	0.01425	0.00089	0.00441	0.01427	0.91856	0.01612	0.00162	0.00551	0.01503	0.02748	0.94397
1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
0.9412	0.01136	0.00389	0.00164	0.00173	0.02757	0.92945	0.01498	0.00813	0.00588	0.01417	0.0268	0.93094	0.02631	0.01606	0.00916	0.02038	0.02889	0.93421	0.02936	0.00791	0.012	0.0213	0.02971	0.94697
0.8824	0.02273	0.00778	0.00327	0.00345	0.05513	0.8589	0.02995	0.01627	0.01177	0.02834	0.05361	0.86187	0.05262	0.03211	0.01831	0.04076	0.05779	0.86841	0.05872	0.01581	0.02401	0.04261	0.05943	0.89395
0.82359	0.03409	0.01167	0.00491	0.00518	0.0827	0.78835	0.04493	0.0244	0.01765	0.04252	0.08041	0.79281	0.07893	0.04817	0.02747	0.06113	0.08668	0.80262	0.08809	0.02372	0.03601	0.06391	0.08914	0.84092
0.76479	0.04546	0.01557	0.00654	0.0069	0.11027	0.7178	0.0599	0.03254	0.02354	0.05669	0.10721	0.72375	0.10524	0.06422	0.03663	0.08151	0.11557	0.73683	0.11745	0.03162	0.04801	0.08522	0.11885	0.78789
0.70599	0.05682	0.01946	0.00818	0.00863	0.13783	0.64725	0.07488	0.04067	0.02942	0.07086	0.13401	0.65468	0.13155	0.08028	0.04579	0.10189	0.14447	0.67103	0.14681	0.03953	0.06002	0.10652	0.14857	0.73487
0.64719	0.06819	0.02335	0.00981	0.01036	0.1654	0.57671	0.08985	0.04881	0.0353	0.08503	0.16082	0.58562	0.15786	0.09633	0.05494	0.12227	0.17336	0.60524	0.17617	0.04744	0.07202	0.12782	0.17828	0.68184
0.58839	0.07955	0.02724	0.01145	0.01208	0.19297	0.50616	0.10483	0.05694	0.04119	0.0992	0.18762	0.51655	0.18417	0.11239	0.0641	0.14265	0.20225	0.53945	0.20553	0.05534	0.08403	0.14913	0.20799	0.62881
0.52958	0.09092	0.03113	0.01308	0.01381	0.22053	0.43561	0.1198	0.06508	0.04707	0.11337	0.21442	0.44749	0.21048	0.12844	0.07326	0.16303	0.23114	0.47365	0.2349	0.06325	0.09603	0.17043	0.23771	0.57578
0.47078	0.10228	0.03502	0.01472	0.01553	0.2481	0.36506	0.13478	0.07321	0.05295	0.12755	0.24123	0.37843	0.23679	0.1445	0.08241	0.1834	0.26004	0.40786	0.26426	0.07115	0.10803	0.19173	0.26742	0.52276
0.41198	0.11364	0.03892	0.01635	0.01726	0.27567	0.29451	0.14975	0.08135	0.05884	0.14172	0.26803	0.30936	0.2631	0.16055	0.09157	0.20378	0.28893	0.34207	0.29362	0.07906	0.12004	0.21304	0.29713	0.46973
