0.025977	0.230875	0.762968
0.033748	0.198584	0.79448
0.041143	0.175878	0.816576
0.048241	0.158394	0.833577
0.055086	0.144212	0.84738
0.061703	0.132313	0.858995
0.068108	0.122078	0.869006
0.074303	0.113124	0.877797
0.08029	0.105185	0.885633
0.086068	0.098065	0.892688
0.091636	0.091633	0.899117
0.099806	0.095844	0.893525
0.108712	0.100295	0.887479
0.118507	0.105016	0.880866
0.12938	0.110062	0.87359
0.141599	0.115488	0.865477
0.15553	0.121368	0.856274
0.1717	0.127859	0.845677
0.190536	0.150571	0.854762
0.214248	0.143346	0.817569
0.243561	0.153122	0.797575
