0.037046	0.724153	0.247988
0.03343	0.606094	0.372943
0.030726	0.279373	0.711771
0.040944	0.211508	0.779462
0.050563	0.175095	0.81558
0.059631	0.150054	0.840429
0.068235	0.130968	0.859441
0.076426	0.115569	0.874868
0.084221	0.102687	0.88787
0.091636	0.091636	0.899119
0.101262	0.096666	0.892442
0.112044	0.102089	0.885029
0.124309	0.107985	0.876685
0.138545	0.114473	0.867118
0.155499	0.12173	0.855854
0.176464	0.130048	0.842083
0.203809	0.139971	0.8242
0.242491	0.152699	0.798427
0.303847	0.171448	0.753722
