dr_epibolyT24hpf_1K_16	0.09211	0.096257	0.893977	0.9958518,0.0074582,0.0024333,-0.0002418,-0.0001483,0.0041318,0.9620933,0.0232387,0.0026996,-0.0005772,0.000006,0.0306073,0.9384461,0.0051575,0.0095945,0.0000758,-0.00283,0.044441,0.96288,0.0230817,-0.0000653,0.0026713,-0.0085599,0.0295063,0.9680413
dr_epibolyT24hpf_1K_17	0.092084	0.095991	0.894273	0.9960945,0.0070262,0.00229,-0.0002287,-0.0001401,0.0038937,0.9642616,0.0219338,0.0025437,-0.0005526,0.000002,0.0288935,0.9419347,0.004858,0.0090528,0.0000718,-0.0027109,0.04196,0.964999,0.0217567,-0.0000619,0.0025299,-0.0081191,0.0278295,0.9698757
dr_epibolyT24hpf_1K_18	0.092062	0.095754	0.894537	0.9963103,0.0066415,0.0021626,-0.0002169,-0.0001327,0.0036815,0.9661952,0.0207675,0.0024048,-0.0005298,-0.0000012,0.0273612,0.9450492,0.0045915,0.0085691,0.0000683,-0.0026004,0.0397411,0.9668892,0.0205755,-0.0000589,0.0024027,-0.007721,0.0263329,0.9715109
dr_epibolyT24hpf_1K_19	0.092041	0.095541	0.894773	0.9965035,0.0062967,0.0020487,-0.0002062,-0.0001261,0.0034912,0.9679304,0.0197189,0.0022803,-0.0005086,-0.0000037,0.0259831,0.9478467,0.0043526,0.0081343,0.0000651,-0.0024976,0.0377448,0.9685858,0.0195159,-0.0000561,0.0022876,-0.0073596,0.024989,0.9729778
dr_epibolyT24hpf_1K_20	0.092022	0.09535	0.894987	0.9966775,0.005986,0.0019462,-0.0001966,-0.0001201,0.0033196,0.9694961,0.018771,0.002168,-0.000489,-0.0000057,0.0247371,0.9503732,0.0041374,0.0077416,0.0000621,-0.002402,0.0359393,0.970117,0.0185601,-0.0000536,0.002183,-0.0070303,0.0237755,0.974301
dr_epibolyT24hpf_Oblong_1	0.087299	0.160272	0.824399	0.9043,0.1594,0.012,0.0017,0,0.0814,0.5634,0.1952,0.0221,0.0154,0.0139,0.2174,0.4699,0.138,0.1026,0,0.0507,0.2843,0.5673,0.3125,0.0004,0.0091,0.0386,0.2709,0.5695
dr_epibolyT24hpf_Oblong_2	0.088546	0.133137	0.853929	0.9485476,0.0948807,-0.0008876,0.0007707,-0.0002895,0.0480784,0.7328246,0.1397975,0.0058499,0.0039865,0.0040535,0.1553384,0.65516,0.0919384,0.0598843,-0.0008837,0.0122498,0.2065605,0.7135333,0.2081258,0.0002041,0.0047065,-0.0006304,0.1879077,0.7282929
dr_epibolyT24hpf_Oblong_3	0.089362	0.121189	0.866919	0.9647871,0.0673554,-0.0027826,0.0006027,-0.0002128,0.0340283,0.808244,0.1058134,0.002044,0.0015398,0.0017551,0.1175002,0.7468262,0.0681743,0.0420414,-0.0007098,0.0030675,0.157967,0.7882611,0.1537704,0.0001393,0.003833,-0.007824,0.1409179,0.8028611
dr_epibolyT24hpf_Oblong_4	0.089851	0.114547	0.874145	0.9732304,0.0521797,-0.0030287,0.000507,-0.0001589,0.0263196,0.8505821,0.0846737,0.0007033,0.0006873,0.0009057,0.0939974,0.8003929,0.0540396,0.0323524,-0.0005595,-0.0000452,0.1271903,0.832472,0.1215788,0.0001038,0.0032861,-0.0092282,0.1122781,0.8455404
dr_epibolyT24hpf_Oblong_5	0.09017	0.110333	0.878732	0.9784065,0.0425769,-0.0029093,0.0004384,-0.0001246,0.0214549,0.8776408,0.0704549,0.0001256,0.0003122,0.0005117,0.0781994,0.8353629,0.0447218,0.0262825,-0.000455,-0.00129,0.1062583,0.8615232,0.1004379,0.0000819,0.0028729,-0.0091668,0.093191,0.873092
