hg_4C_7_1_hg_8C_9_1_1	0.8188,0.0968,0.0503,0.0201,0.0139	0.095235,0.159748,0.823433	0.6645,0.1435,0.0729,0.0624,0.0567	0.8206,0.0962,0.0486,0.0212,0.0134	0.588675838684361,0.268098594243622,0.0999381917322646,0.0264093174480816,0.0167780578916708	0.6589,0.1503,0.0752,0.0574,0.0583	0.07765	0.15357879040477	0.176525	0.7731,0.2176,0.0973,0.048,0.1579,0.1416,0.2724,0.115,0.1,0.0827,0.0436,0.2028,0.2513,0.228,0.1579,0.0209,0.1862,0.2867,0.248,0.203,0.0209,0.121,0.2496,0.376,0.3985	0.670105477394457,0.345498073091714,0.125719903869862,0.010770969728901,0.000651270668831676,0.282139539613761,0.253149196074476,0.198746188693338,0.118930517470349,0.0137021824055074,0.0445467481419759,0.334495037519793,0.441737652686439,0.366274593641914,0.108105860386217,0.00312597529693793,0.0636148652476324,0.146436154822661,0.251589844022022,0.379075932845718,8.22595528683923e-05,0.00324282806638514,0.0873600999277004,0.252434075136814,0.498464753693726
hg_4C_7_1_hg_8C_9_1_2	0.8216,0.0949,0.0502,0.0199,0.0135	0.095371,0.148346,0.836015	0.6636,0.1457,0.0728,0.061,0.0569	0.8179,0.0981,0.0487,0.0215,0.0138	0.58926010871614,0.267284009102585,0.100148216139135,0.0259974462737068,0.017410219768433	0.6598,0.1482,0.0753,0.0587,0.0581	0.0788	0.153803414818927	0.176825	0.7738,0.2279,0.0861,0.0567,0.156,0.1403,0.2519,0.1125,0.1134,0.0993,0.0429,0.2108,0.2654,0.166,0.1986,0.0205,0.1928,0.29,0.2915,0.1844,0.0226,0.1165,0.246,0.3725,0.3617	0.669702659873185,0.343855869008694,0.123703876227472,0.00924668152952082,0.000484284914838801,0.282415055784263,0.246496384597782,0.189307840228306,0.110849422675834,0.0111211319403659,0.0446606392541046,0.341012379352987,0.448314476343175,0.366566930224669,0.0957697409974694,0.00313891464626435,0.0652954047484051,0.146581608283843,0.246997525252577,0.366543155654608,8.27304421837232e-05,0.00333996229213212,0.0920921989172039,0.266339440317399,0.526081686492717
hg_4C_7_1_hg_8C_9_1_3	0.8235,0.0938,0.049,0.0202,0.0135	0.091851,0.162492,0.821074	0.6664,0.144,0.0747,0.0575,0.0575	0.8159,0.0992,0.0499,0.0211,0.0138	0.599564496607961,0.26274236766125,0.0961704207359994,0.0253006828060209,0.0162220321887678	0.6569,0.1499,0.0733,0.0623,0.0575	0.079375	0.148968346576596	0.17835	0.7716,0.2332,0.0851,0.0653,0.1007,0.1417,0.2723,0.1146,0.0776,0.0738,0.0426,0.2019,0.2552,0.1878,0.1342,0.023,0.1866,0.2934,0.3061,0.2617,0.0211,0.106,0.2517,0.3633,0.4295	0.680187170665518,0.35098155165252,0.12799800823252,0.0112365404055206,0.000697148171520193,0.275178948885254,0.25202853529679,0.200844047728799,0.121625486181282,0.0143728506542392,0.0417477665571279,0.332931399162148,0.441554639053072,0.3676174862299,0.111119940692632,0.0028149375679092,0.0610641231622557,0.143648013751376,0.25056660933527,0.381819909913939,7.11763241907517e-05,0.00299439072628673,0.085955291234232,0.248953877848027,0.49199015056767
hg_4C_7_1_hg_8C_9_1_4	0.8153,0.1018,0.0482,0.022,0.0127	0.095049,0.154497,0.829276	0.6608,0.1456,0.0758,0.0616,0.0563	0.8242,0.0912,0.0508,0.0193,0.0146	0.588166618689582,0.267226374196901,0.101354243875005,0.0263568819884912,0.0168958812500214	0.6626,0.1482,0.0723,0.0582,0.0586	0.077275	0.154147258228118	0.17545	0.7764,0.2041,0.1087,0.0455,0.1126,0.1389,0.2724,0.1187,0.1364,0.0795,0.0415,0.2059,0.2575,0.1727,0.1656,0.022,0.1921,0.2525,0.3,0.2252,0.0211,0.1256,0.2625,0.3455,0.4172	0.670656683768948,0.345102060363679,0.124902695851756,0.0100585902331814,0.000569743507953504,0.281762204298596,0.249909919508703,0.194410783915872,0.115264797520103,0.0124719603213966,0.0443911588965214,0.337493920607363,0.444859891559636,0.366489071753341,0.102381461188477,0.00310833423537515,0.0642240860664489,0.146332936250085,0.249434884786283,0.373529931675042,8.16188005588624e-05,0.00327001345380597,0.0894936924226503,0.258752655707092,0.511046903307131
hg_4C_7_1_hg_8C_9_1_5	0.8203,0.0954,0.0478,0.0222,0.0143	0.092812,0.170275,0.812305	0.6625,0.1471,0.0741,0.0599,0.0563	0.8191,0.0976,0.0511,0.0192,0.013	0.595494785380217,0.264870728020896,0.0969628968929865,0.026254613401755,0.0164169763041456	0.6608,0.1467,0.0739,0.0599,0.0587	0.07735	0.150807066807179	0.17725	0.7736,0.2411,0.0889,0.05,0.1185,0.1377,0.2636,0.1225,0.1045,0.0815,0.0444,0.1945,0.25,0.1818,0.1333,0.0226,0.1806,0.3121,0.2955,0.2074,0.0217,0.1201,0.2265,0.3682,0.4593	0.677312650946882,0.350587013444273,0.128933129783606,0.0123509999648818,0.000840623988099794,0.277176249067148,0.257302433102578,0.20721261423788,0.126906792473053,0.0163849678080968,0.0425357511812659,0.328475171276464,0.436659427863931,0.367088520943667,0.119762450515671,0.00290114664849744,0.0606331301922459,0.144236434084074,0.253711058323981,0.389057002911968,7.42021562069672e-05,0.0030022519844389,0.0829583940305091,0.239942628294417,0.473954954776164
hg_4C_7_1_hg_8C_9_1_6	0.8236,0.0949,0.0476,0.02,0.0138	0.095187,0.151662,0.832383	0.6644,0.1469,0.0718,0.0585,0.0584	0.8159,0.0981,0.0513,0.0213,0.0135	0.590832742544268,0.267427254363113,0.0987898581931985,0.025760631047987,0.0170895138514333	0.659,0.1469,0.0763,0.0613,0.0566	0.07965	0.152661729824801	0.17745	0.7774,0.2176,0.0804,0.0324,0.1045,0.1365,0.2619,0.134,0.1134,0.0896,0.0443,0.2082,0.2747,0.17,0.1343,0.0218,0.198,0.2697,0.2955,0.2836,0.02,0.1143,0.2412,0.3887,0.3881	0.670247691660741,0.34453930147477,0.124350066627404,0.00967998711864314,0.000529062948486988,0.28204222099422,0.248334883514101,0.192064981557471,0.113232515124331,0.0118374842146807,0.0445065768668944,0.339114737369317,0.446453258074477,0.366522138982375,0.0993213800930103,0.00312141664058693,0.0647096891304835,0.146448313290016,0.248337289119185,0.370376616617989,8.20938375574699e-05,0.00330138851132882,0.0906833804506318,0.262228069655466,0.517935456125833
hg_4C_7_1_hg_8C_9_1_7	0.8163,0.0984,0.0518,0.0209,0.0127	0.090979,0.168326,0.814828	0.6626,0.1464,0.0747,0.0605,0.0558	0.8231,0.0946,0.0472,0.0205,0.0146	0.599091783646479,0.261682015854346,0.097823858793963,0.0256973157386619,0.0158050259665498	0.6608,0.1474,0.0733,0.0593,0.0592	0.077225	0.149410446131114	0.177175	0.7731,0.2145,0.1007,0.0418,0.1769,0.1401,0.2586,0.1026,0.1088,0.0612,0.0434,0.2039,0.2582,0.1548,0.1633,0.021,0.2074,0.2875,0.2803,0.1905,0.0225,0.1156,0.2509,0.4142,0.4082	0.682803384659409,0.353107955243376,0.129542712661965,0.0121076569151745,0.000802788003005368,0.273352404984828,0.254697596494861,0.205564904982368,0.125954330447347,0.0158658728897996,0.0410375477350601,0.32956640424391,0.438500887787827,0.36784099836681,0.117586735980861,0.00273815093775834,0.0597311993600903,0.142825895441384,0.25202223918164,0.387320230580858,6.85116829441552e-05,0.00289684465776198,0.0835655991264566,0.242074775089028,0.478424372545476
hg_4C_7_1_hg_8C_9_1_8	0.8192,0.0962,0.0495,0.0218,0.0133	0.092806,0.162443,0.820943	0.6602,0.147,0.075,0.0603,0.0575	0.8202,0.0968,0.0494,0.0195,0.014	0.595057306340214,0.264148524101347,0.0981933598255116,0.0260110597015809,0.0165897500313467	0.6632,0.1468,0.073,0.0595,0.0575	0.077525	0.151231855745625	0.175325	0.7782,0.2152,0.0929,0.0396,0.1511,0.1384,0.2596,0.1136,0.0881,0.1079,0.0404,0.2247,0.2496,0.2026,0.1367,0.0211,0.1873,0.3046,0.2996,0.2014,0.0218,0.1132,0.2392,0.37,0.4029	0.677330569685766,0.349523609366461,0.127482241253864,0.0112064653479742,0.000696281648791073,0.277163829788368,0.25277615768009,0.200846348029731,0.121374400837293,0.0143603161027736,0.0425308143363039,0.332958179839948,0.441189542231955,0.367224901512323,0.111064257681053,0.00290060321922692,0.0616839478429882,0.144423342489439,0.25111878715858,0.38177028185041,7.41829703358856e-05,0.00305810527051218,0.0860585259950105,0.249075445143831,0.492108862716973
hg_4C_7_1_hg_8C_9_1_9	0.8229,0.0992,0.0455,0.0198,0.0126	0.092418,0.169688,0.813028	0.6614,0.1512,0.073,0.0576,0.0569	0.8165,0.0938,0.0534,0.0216,0.0147	0.599283448227763,0.264992846924895,0.0960159687383499,0.0248161920931638,0.0148915440158286	0.662,0.1426,0.0751,0.0622,0.0581	0.08105	0.1477598841861	0.17795	0.7807,0.2116,0.0918,0.0447,0.1494,0.1347,0.258,0.1127,0.1057,0.1039,0.0411,0.2143,0.2802,0.1667,0.1364,0.0214,0.2,0.2931,0.3089,0.1883,0.0221,0.1161,0.2222,0.374,0.4221	0.678490069894992,0.351104233241359,0.129032132481691,0.0122737676159894,0.000829138644254085,0.276359360496596,0.25665118973596,0.206726607099919,0.126585612588474,0.0162282062016236,0.0422120194842577,0.328801780595983,0.437147890298149,0.367250348590757,0.119109155473806,0.00286559996172697,0.0604621474867206,0.143940289881181,0.253300027145107,0.3885413592785,7.29501624268891e-05,0.00298064893997825,0.0831530802390602,0.240590244059673,0.475292140401816
hg_4C_7_1_hg_8C_9_1_10	0.8169,0.0986,0.0514,0.0194,0.0136	0.092718,0.153266,0.831071	0.6638,0.1463,0.0721,0.0584,0.0594	0.8225,0.0944,0.0475,0.0219,0.0137	0.594557167343299,0.262978101477673,0.0994962805847249,0.0258485660578811,0.0170198845364221	0.6596,0.1475,0.0759,0.0614,0.0556	0.077475	0.151898974741614	0.176475	0.776,0.1966,0.0836,0.0471,0.1277,0.1383,0.2772,0.1068,0.0902,0.078,0.0425,0.2205,0.2794,0.2,0.156,0.0231,0.1922,0.2972,0.2745,0.2624,0.0201,0.1134,0.2331,0.3882,0.3759	0.677593418705706,0.348464938231901,0.125915175583615,0.00994413076084691,0.000551803763597414,0.276981607022097,0.247293035083379,0.193265573003631,0.114899220782852,0.0121939784210427,0.0424584318434756,0.338249898196325,0.446612359055654,0.367545814421463,0.10105026429375,0.00289264042393535,0.062873465918608,0.14441410152134,0.247514547232131,0.372174803050982,7.39020047863943e-05,0.00311866256978666,0.0897927908357603,0.260096286802707,0.514029150470628
