baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cd209e	61.7761121821822	-3.82209745588418	1.15041019331072	-3.32237794667372	0.000892537093913374	0.0120074265658452
Foxh1	270.781596043608	-3.80023845151013	0.810977044966041	-4.686000023181	0.00000278596230665989	0.0000898057898801507
Cacna1s	47.9786182607849	-3.79081277426326	0.995787049485834	-3.80685084850282	0.000140747569944034	0.00269569348542053
Mcf2	214.603116881879	-3.7418825986965	0.654747954429711	-5.71499700515398	0.0000000109705956320109	0.000000658424886121205
Pdk4	114.874021650411	-3.65947927237147	0.886316166285164	-4.12886440705411	0.0000364559302044379	0.000854313809380066
5430405H02Rik	57.5560699301292	-3.61205405077819	1.23880004276477	-2.91576842596548	0.00354813746628709	0.0355938516430702
Nrg2	111.044221069426	-3.59610464061336	1.04241003523573	-3.44979856204104	0.000561004997543823	0.0082399088457808
St3gal4	148.054017800766	-3.57014132083412	0.945174104571191	-3.77723141542672	0.000158581371797279	0.00297585851874031
Cnga4	74.4993792861798	-3.52344634865601	0.864662702237667	-4.07493735943237	0.0000460267346099582	0.00103534128062853
Vegfc	133.788800603145	-3.50888221716066	0.731913000605688	-4.79412473102257	0.0000016338659877765	0.0000558966830805895
Adam32	68.0923206932064	-3.50628156740821	1.14466153286865	-3.06316012788609	0.00219012831744204	0.0243378664741125
Itga11	319.256334440557	-3.48802657021706	0.70681585336607	-4.934844844815	0.000000802145009609351	0.0000301866678751367
Abp1	111.912926069549	-3.4878449602954	0.846100924065703	-4.12225641302403	0.0000375179248252649	0.000876509371253336
Oaf	35.5313196384435	-3.44600275577445	1.16610305079304	-2.95514427599766	0.00312522864710431	0.032186156569734
Six3	49.9615409537515	-3.40781881460435	0.837455864759718	-4.06925183523804	0.0000471643462794125	0.00105902786590084
Ephx2	316.072885417758	-3.40375750636243	0.428214193946763	-7.94872648893463	0.00000000000000188438572224429	0.000000000000391614728306411
Enpp3	302.699292841708	-3.34828669548795	0.763708419678385	-4.38424745519761	0.0000116387414919029	0.000313458097743241
Slc43a1	59.4955574766985	-3.33431197465492	0.866071209270062	-3.84992820332306	0.000118152453797981	0.0023335528605434
